index,true_label,predicted_label,likely_causes
23,9,5,Underrepresentation
25,4,2,Overlapping labels
42,3,6,Noise
43,7,9,Overlapping labels
49,2,6,Underrepresentation
57,4,6,Overlapping labels
66,2,3,Noise
68,9,7,Overlapping labels
98,4,2,Overlapping labels
103,2,6,Underfitting
107,9,7,Overlapping labels
147,6,3,Overlapping labels
150,4,3,Overlapping labels
192,1,0,Underfitting
229,0,6,Overlapping labels
244,6,2,Overlapping labels
248,2,6,Overlapping labels
271,3,6,Noise
324,4,6,Overlapping labels
325,6,2,Overlapping labels
374,0,6,Overlapping labels
378,4,3,Overlapping labels
379,2,6,Underfitting
381,0,6,Overfitting
382,2,0,Underfitting
